Molcode   Qmax   Concentration   Correlations 
AlAg  6.111  0.5  -0.16324 -0.23764 0.13028 0.02814 -0.04920 0.00812 0.01222 -0.00662 -0.00148 0.00251 -0.00040 -0.00063 0.00034 0.00008 -0.00013 0.00002 0.00003 -0.00002 -0.00000 0.00001
AlAg  6.765  0.5  0.09396 -0.22800 -0.06032 0.04066 0.02051 -0.00557 -0.00555 0.00029 0.00129 0.00016 -0.00026 -0.00008 0.00004 0.00003 -0.00001 -0.00001 0.00000 0.00000 0.00000 -0.00000
AlAg  7.961  0.5  0.06701 -0.17724 -0.04569 0.03427 0.01659 -0.00532 -0.00482 0.00045 0.00122 0.00010 -0.00027 -0.00007 0.00005 0.00003 -0.00001 -0.00001 0.00000 0.00000 0.00000 -0.00000
AlAg  6.188  0.5  0.03445 -0.47235 -0.03459 0.15677 0.01925 -0.05165 -0.00897 0.01689 0.00383 -0.00548 -0.00155 0.00176 0.00061 -0.00056 -0.00023 0.00018 0.00009 -0.00006 -0.00003 0.00002
AlAg  6.956  0.5  0.21038 -0.16633 -0.16204 -0.02768 0.04213 0.03206 0.00225 -0.01005 -0.00612 0.00027 0.00229 0.00112 -0.00021 -0.00050 -0.00019 0.00007 0.00011 0.00003 -0.00002 -0.00002
AlAg  6.459  0.5  -0.05765 -0.07367 0.01954 0.00572 -0.00336 -0.00013 0.00043 -0.00006 -0.00004 0.00001 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000
AlAg  6.735  0.5  -0.08656 -0.10041 0.03923 0.00760 -0.00855 0.00078 0.00127 -0.00044 -0.00011 0.00010 -0.00001 -0.00002 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
AlAg  6.135  0.5  -0.07122 -0.23937 0.05269 0.05308 -0.02104 -0.01042 0.00684 0.00165 -0.00197 -0.00013 0.00052 -0.00004 -0.00013 0.00003 0.00003 -0.00001 -0.00001 0.00000 0.00000 -0.00000
AlAg  6.323  0.5  -0.05889 -0.44721 0.05887 0.14501 -0.03244 -0.04586 0.01490 0.01409 -0.00624 -0.00419 0.00246 0.00119 -0.00093 -0.00032 0.00034 0.00008 -0.00012 -0.00002 0.00004 0.00000
AlAg  7.157  0.5  0.13150 -0.20788 -0.06735 0.02452 0.01754 -0.00091 -0.00343 -0.00054 0.00052 0.00021 -0.00005 -0.00005 -0.00000 0.00001 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000
AlAg  6.039  0.5  0.12612 -0.15755 -0.04264 0.01196 0.00729 -0.00021 -0.00093 -0.00013 0.00009 0.00003 -0.00001 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000
AlAg  7.176  0.5  0.05712 -0.14140 -0.02116 0.01583 0.00424 -0.00159 -0.00069 0.00013 0.00010 -0.00001 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AlAg  6.784  0.5  0.31009 -0.25052 -0.20658 -0.02196 0.05042 0.02972 -0.00106 -0.00920 -0.00394 0.00088 0.00156 0.00046 -0.00024 -0.00025 -0.00004 0.00005 0.00004 0.00000 -0.00001 -0.00001
AlPerchlorate  7.683  0.5  -0.00227 -0.13919 0.00139 0.02828 -0.00047 -0.00574 0.00013 0.00117 -0.00003 -0.00024 0.00001 0.00005 -0.00000 -0.00001 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AlPerchlorate  6.815  0.5  -0.13873 -0.34770 0.18972 0.10655 -0.13118 -0.00726 0.06761 -0.01991 -0.02662 0.01913 0.00656 -0.01177 0.00084 0.00555 -0.00235 -0.00194 0.00184 0.00032 -0.00102 0.00020
AlPerchlorate  7.485  0.5  -0.07790 -0.10264 0.02805 0.00847 -0.00513 -0.00021 0.00070 -0.00010 -0.00007 0.00003 0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000
AlPerchlorate  6.044  0.5  -0.14889 -0.44516 0.25910 0.18229 -0.23019 -0.02841 0.15476 -0.03986 -0.08208 0.05555 0.03072 -0.04624 -0.00201 0.02971 -0.00981 -0.01495 0.01171 0.00500 -0.00920 0.00029
AlPerchlorate  6.775  0.5  -0.11591 -0.43726 0.21831 0.21913 -0.21558 -0.07546 0.16728 -0.00412 -0.10952 0.03817 0.06022 -0.04478 -0.02542 0.03790 0.00458 -0.02660 0.00557 0.01582 -0.00881 -0.00763
AlPerchlorate  7.155  0.5  0.10060 -0.05675 -0.03043 -0.00176 0.00347 0.00128 -0.00007 -0.00019 -0.00005 0.00001 0.00001 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000
AlPerchlorate  7.812  0.5  -0.22223 -0.68444 0.35822 0.27301 -0.29792 -0.05671 0.19042 -0.03149 -0.09890 0.05141 0.03957 -0.04289 -0.00832 0.02746 -0.00446 -0.01429 0.00738 0.00574 -0.00617 -0.00122
AlPerchlorate  6.850  0.5  0.09942 -0.07480 -0.03481 0.00101 0.00523 0.00130 -0.00038 -0.00029 -0.00003 0.00003 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
AlPerchlorate  7.249  0.5  0.25674 -0.52559 -0.32355 0.12198 0.19909 0.01957 -0.08597 -0.04239 0.02402 0.02919 -0.00001 -0.01372 -0.00529 0.00440 0.00418 -0.00045 -0.00214 -0.00061 0.00077 0.00059
AlPerchlorate  7.145  0.5  0.15717 -0.05183 -0.03285 -0.00512 0.00177 0.00110 0.00017 -0.00006 -0.00004 -0.00001 0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000
AlPerchlorate  6.904  0.5  0.06376 -0.55306 -0.07305 0.20623 0.04618 -0.07524 -0.02436 0.02679 0.01172 -0.00927 -0.00532 0.00310 0.00232 -0.00099 -0.00098 0.00029 0.00040 -0.00008 -0.00016 0.00002
AlPerchlorate  7.826  0.5  -0.01184 -0.08903 0.00453 0.01124 -0.00096 -0.00141 0.00017 0.00017 -0.00003 -0.00002 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AlPerchlorate  7.366  0.5  0.04113 -0.15593 -0.03107 0.03608 0.01274 -0.00762 -0.00428 0.00140 0.00129 -0.00019 -0.00036 0.00000 0.00009 0.00001 -0.00002 -0.00001 0.00000 0.00000 -0.00000 -0.00000
AlPerchlorate  6.728  0.5  0.00397 -0.21894 -0.00250 0.04604 0.00088 -0.00968 -0.00026 0.00203 0.00007 -0.00043 -0.00002 0.00009 0.00000 -0.00002 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
AlPerchlorate_R  6.775  0.5  0.14009 -0.07101 -0.05548 -0.00940 0.00658 0.00447 0.00060 -0.00060 -0.00036 -0.00003 0.00005 0.00003 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AlPerchlorate_R  7.347  0.5  0.00825 -0.16619 -0.00646 0.04328 0.00281 -0.01124 -0.00103 0.00291 0.00034 -0.00075 -0.00011 0.00019 0.00003 -0.00005 -0.00001 0.00001 0.00000 -0.00000 -0.00000 0.00000
AlPerchlorate_R  6.977  0.5  -0.06749 -0.09869 0.02514 0.00902 -0.00482 -0.00041 0.00071 -0.00006 -0.00008 0.00002 0.00001 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AlPerchlorate_R  7.675  0.5  0.05686 -0.08329 -0.02217 0.00785 0.00444 -0.00034 -0.00068 -0.00007 0.00008 0.00002 -0.00001 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000
AlPerchlorate_R  6.392  0.5  0.10227 -0.41834 -0.17426 0.20056 0.15776 -0.07599 -0.11413 0.01402 0.07144 0.01110 -0.03932 -0.01726 0.01861 0.01529 -0.00688 -0.01093 0.00111 0.00677 0.00119 -0.00369
AlPerchlorate_R  7.955  0.5  0.10914 -0.09572 -0.05280 0.00158 0.01091 0.00326 -0.00108 -0.00100 -0.00011 0.00016 0.00007 -0.00001 -0.00002 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
AlPerchlorate_R  7.970  0.5  0.03132 -0.20869 -0.03060 0.06564 0.01645 -0.01998 -0.00735 0.00586 0.00299 -0.00163 -0.00114 0.00043 0.00042 -0.00010 -0.00015 0.00002 0.00005 -0.00000 -0.00002 -0.00000
AlPerchlorate_R  7.255  0.5  -0.09434 -0.37057 0.09075 0.10740 -0.04718 -0.02777 0.02001 0.00592 -0.00754 -0.00073 0.00260 -0.00018 -0.00083 0.00019 0.00024 -0.00010 -0.00006 0.00004 0.00001 -0.00002
AlPerchlorate_R  7.419  0.5  -0.01568 -0.11910 0.00653 0.01635 -0.00151 -0.00222 0.00029 0.00030 -0.00005 -0.00004 0.00001 0.00001 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AlPerchlorate_R  7.093  0.5  0.04107 -0.14162 -0.01472 0.01613 0.00289 -0.00175 -0.00047 0.00018 0.00007 -0.00002 -0.00001 0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AlPerchlorate_R  7.694  0.5  -0.12257 -0.50165 0.18660 0.21909 -0.15165 -0.07863 0.09907 0.01736 -0.05645 0.00457 0.02865 -0.00938 -0.01282 0.00806 0.00480 -0.00542 -0.00121 0.00315 -0.00013 -0.00163
AlPerchlorate_R  6.022  0.5  0.16546 -0.17214 -0.06444 0.01048 0.01196 0.00123 -0.00148 -0.00053 0.00010 0.00010 0.00001 -0.00001 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AlPerchlorate_R  6.368  0.5  0.49841 -0.32985 -0.54861 -0.24468 0.12223 0.23786 0.11807 -0.04350 -0.10251 -0.05617 0.01456 0.04391 0.02640 -0.00437 -0.01868 -0.01228 0.00103 0.00790 0.00566 -0.00006
AlPerchlorate_R  6.625  0.5  -0.07925 -0.41518 0.09717 0.15797 -0.06490 -0.05579 0.03566 0.01774 -0.01760 -0.00467 0.00805 0.00070 -0.00346 0.00024 0.00141 -0.00032 -0.00054 0.00022 0.00019 -0.00012
Alsulfate  7.955  0.5  -0.10487 -0.06296 0.02352 0.00052 -0.00226 0.00045 0.00011 -0.00006 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
Alsulfate  7.677  0.5  -0.05619 -0.29520 0.03638 0.06139 -0.01295 -0.01233 0.00383 0.00237 -0.00103 -0.00043 0.00026 0.00007 -0.00006 -0.00001 0.00001 0.00000 -0.00000 0.00000 0.00000 -0.00000
Alsulfate  6.235  0.5  0.24260 -0.54675 -0.34265 0.15055 0.23855 0.01547 -0.11860 -0.05490 0.04032 0.04462 -0.00347 -0.02469 -0.00794 0.00978 0.00801 -0.00195 -0.00496 -0.00094 0.00222 0.00137
Alsulfate  6.410  0.5  -0.06807 -0.09414 0.01940 0.00692 -0.00288 -0.00031 0.00033 -0.00001 -0.00003 0.00001 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
Alsulfate  7.198  0.5  0.17612 -0.07657 -0.06971 -0.01614 0.00664 0.00622 0.00148 -0.00058 -0.00055 -0.00014 0.00005 0.00005 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000
Alsulfate  6.685  0.5  0.12554 -0.09655 -0.05688 -0.00111 0.01043 0.00378 -0.00069 -0.00095 -0.00020 0.00011 0.00008 0.00000 -0.00001 -0.00001 0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000
Alsulfate  6.388  0.5  -0.07561 -0.15002 0.04447 0.02273 -0.01361 -0.00213 0.00324 -0.00018 -0.00064 0.00016 0.00010 -0.00005 -0.00001 0.00001 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
Alsulfate  6.765  0.5  0.03624 -0.52118 -0.06410 0.30319 0.06275 -0.17429 -0.05140 0.09894 0.03852 -0.05540 -0.02733 0.03055 0.01867 -0.01655 -0.01241 0.00878 0.00806 -0.00454 -0.00514 0.00226
Alsulfate  7.258  0.5  0.17762 -0.05388 -0.03309 -0.00510 0.00153 0.00094 0.00015 -0.00004 -0.00003 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000
Alsulfate  6.431  0.5  0.16577 -0.06793 -0.05040 -0.00894 0.00413 0.00289 0.00048 -0.00025 -0.00017 -0.00003 0.00002 0.00001 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000
Alsulfate  6.353  0.5  0.10873 -0.27858 -0.06742 0.04924 0.02228 -0.00707 -0.00591 0.00059 0.00136 0.00009 -0.00028 -0.00006 0.00005 0.00002 -0.00001 -0.00001 0.00000 0.00000 0.00000 -0.00000
Alsulfate  6.149  0.5  -0.18579 -0.29016 0.14204 0.03951 -0.05274 0.00485 0.01360 -0.00555 -0.00219 0.00226 -0.00007 -0.00063 0.00021 0.00011 -0.00010 -0.00000 0.00003 -0.00001 -0.00001 0.00000
Alsulfate  6.808  0.5  -0.05416 -0.42311 0.05715 0.14482 -0.03324 -0.04834 0.01612 0.01568 -0.00712 -0.00492 0.00296 0.00148 -0.00118 -0.00042 0.00046 0.00011 -0.00017 -0.00002 0.00006 0.00000
Alsulfate  6.631  0.5  0.17005 -0.52710 -0.28486 0.21658 0.24573 -0.04429 -0.16247 -0.02992 0.08686 0.04808 -0.03530 -0.04104 0.00688 0.02695 0.00525 -0.01431 -0.00811 0.00575 0.00685 -0.00106
Alsulfate_R  7.569  0.5  0.17352 -0.05883 -0.05958 -0.01668 0.00336 0.00466 0.00154 -0.00015 -0.00036 -0.00014 0.00000 0.00003 0.00001 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000
Alsulfate_R  7.149  0.5  -0.13694 -0.36011 0.18513 0.11436 -0.12773 -0.01364 0.06665 -0.01529 -0.02741 0.01646 0.00792 -0.01062 -0.00036 0.00529 -0.00156 -0.00206 0.00144 0.00053 -0.00087 0.00003
Alsulfate_R  6.739  0.5  -0.08802 -0.12428 0.03220 0.01095 -0.00604 -0.00043 0.00086 -0.00009 -0.00010 0.00003 0.00001 -0.00001 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
Alsulfate_R  6.240  0.5  -0.33065 -0.38995 0.33678 -0.00432 -0.14068 0.07273 0.02302 -0.04245 0.01163 0.01214 -0.01105 0.00042 0.00448 -0.00243 -0.00067 0.00137 -0.00041 -0.00038 0.00036 -0.00002
Alsulfate_R  7.759  0.5  -0.10538 -0.24026 0.07641 0.04573 -0.02896 -0.00574 0.00859 -0.00030 -0.00214 0.00052 0.00044 -0.00022 -0.00007 0.00007 0.00000 -0.00002 0.00000 0.00000 -0.00000 -0.00000
Alsulfate_R  7.471  0.5  -0.07393 -0.21081 0.06782 0.05334 -0.03289 -0.01020 0.01268 0.00062 -0.00419 0.00068 0.00120 -0.00047 -0.00029 0.00021 0.00005 -0.00008 0.00000 0.00002 -0.00001 -0.00001
Alsulfate_R  7.002  0.5  -0.11180 -0.09733 0.03351 0.00407 -0.00471 0.00053 0.00043 -0.00015 -0.00002 0.00002 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
Alsulfate_R  6.162  0.5  0.10508 -0.11063 -0.02625 0.00609 0.00331 -0.00005 -0.00031 -0.00004 0.00002 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000
Alsulfate_R  6.397  0.5  0.32101 -0.44258 -0.45408 -0.01000 0.26219 0.16260 -0.05767 -0.13049 -0.04393 0.05081 0.05631 0.00365 -0.03108 -0.02073 0.00597 0.01581 0.00592 -0.00580 -0.00696 -0.00074
Alsulfate_R  7.266  0.5  0.04778 -0.64630 -0.06752 0.30080 0.05283 -0.13851 -0.03460 0.06307 0.02074 -0.02837 -0.01178 0.01259 0.00644 -0.00550 -0.00343 0.00236 0.00178 -0.00099 -0.00091 0.00041
Alsulfate_R  7.740  0.5  -0.00476 -0.20171 0.00306 0.04311 -0.00109 -0.00921 0.00033 0.00197 -0.00009 -0.00042 0.00002 0.00009 -0.00001 -0.00002 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
Alsulfate_R  6.413  0.5  0.25583 -0.21913 -0.20563 -0.02850 0.05882 0.04081 0.00016 -0.01453 -0.00762 0.00124 0.00337 0.00131 -0.00053 -0.00074 -0.00020 0.00016 0.00016 0.00002 -0.00004 -0.00003
Alsulfate_R  7.978  0.5  -0.06739 -0.18811 0.03818 0.03155 -0.01164 -0.00460 0.00288 0.00051 -0.00063 -0.00002 0.00012 -0.00001 -0.00002 0.00001 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000
Alsulfate_R  7.327  0.5  0.04105 -0.13005 -0.02019 0.01971 0.00540 -0.00275 -0.00119 0.00034 0.00023 -0.00003 -0.00004 0.00000 0.00001 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AlHexafluorophosphate  6.150  0.5  0.22618 -0.41162 -0.22612 0.07556 0.11033 0.00984 -0.03774 -0.01667 0.00833 0.00908 0.00002 -0.00338 -0.00117 0.00086 0.00073 -0.00007 -0.00030 -0.00008 0.00008 0.00006
AlHexafluorophosphate  7.656  0.5  0.22075 -0.23319 -0.29694 -0.06447 0.13623 0.13414 0.01028 -0.07465 -0.05823 0.00500 0.03899 0.02409 -0.00701 -0.01957 -0.00935 0.00543 0.00948 0.00329 -0.00349 -0.00444
AlHexafluorophosphate  6.842  0.5  0.09716 -0.04933 -0.02645 -0.00196 0.00260 0.00101 -0.00001 -0.00013 -0.00004 0.00000 0.00001 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000
AlHexafluorophosphate  6.450  0.5  -0.10945 -0.28464 0.07433 0.05453 -0.02684 -0.00830 0.00775 0.00064 -0.00194 0.00018 0.00043 -0.00012 -0.00008 0.00004 0.00001 -0.00001 -0.00000 0.00000 -0.00000 -0.00000
AlHexafluorophosphate  6.280  0.5  0.15572 -0.46846 -0.28175 0.19728 0.25969 -0.02884 -0.18052 -0.05061 0.09832 0.07083 -0.03691 -0.06040 0.00085 0.03973 0.01473 -0.02026 -0.01740 0.00653 0.01386 0.00107
AlHexafluorophosphate  6.668  0.5  -0.00894 -0.23121 0.00579 0.04985 -0.00208 -0.01073 0.00063 0.00231 -0.00017 -0.00050 0.00005 0.00011 -0.00001 -0.00002 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AlHexafluorophosphate  6.786  0.5  0.46112 -0.32227 -0.44680 -0.15435 0.10894 0.15030 0.05167 -0.03683 -0.05056 -0.01729 0.01245 0.01701 0.00579 -0.00421 -0.00572 -0.00194 0.00142 0.00192 0.00065 -0.00048
AlHexafluorophosphate  6.550  0.5  -0.15537 -0.22849 0.11873 0.02781 -0.04335 0.00594 0.01063 -0.00515 -0.00141 0.00195 -0.00022 -0.00049 0.00022 0.00007 -0.00009 0.00001 0.00002 -0.00001 -0.00000 0.00000
AlHexafluorophosphate  6.714  0.5  0.01606 -0.23484 -0.01186 0.05752 0.00486 -0.01402 -0.00167 0.00340 0.00053 -0.00082 -0.00016 0.00020 0.00005 -0.00005 -0.00001 0.00001 0.00000 -0.00000 -0.00000 0.00000
AlHexafluorophosphate  6.633  0.5  0.01852 -0.35673 -0.02568 0.16391 0.01975 -0.07494 -0.01273 0.03408 0.00753 -0.01542 -0.00422 0.00693 0.00229 -0.00310 -0.00121 0.00138 0.00063 -0.00061 -0.00032 0.00027
AlHexafluorophosphate  7.224  0.5  0.02607 -0.18637 -0.01679 0.03923 0.00598 -0.00811 -0.00178 0.00164 0.00048 -0.00033 -0.00012 0.00006 0.00003 -0.00001 -0.00001 0.00000 0.00000 -0.00000 -0.00000 0.00000
AlHexafluorophosphate  7.674  0.5  0.00874 -0.24625 -0.00456 0.04284 0.00132 -0.00745 -0.00032 0.00129 0.00007 -0.00022 -0.00002 0.00004 0.00000 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
AlHexafluorophosphate  7.362  0.5  -0.05551 -0.82125 0.09541 0.46481 -0.09079 -0.26022 0.07232 0.14403 -0.05272 -0.07873 0.03640 0.04245 -0.02421 -0.02254 0.01566 0.01175 -0.00991 -0.00599 0.00616 0.00297
AlHexafluorophosphate  6.803  0.5  0.19754 -0.26673 -0.12500 0.02738 0.03789 0.00449 -0.00775 -0.00334 0.00088 0.00106 0.00010 -0.00022 -0.00009 0.00003 0.00003 0.00000 -0.00001 -0.00000 0.00000 0.00000
AlHexafluorophosphate_R  7.840  0.5  -0.09756 -0.15889 0.06070 0.02134 -0.01896 -0.00025 0.00436 -0.00100 -0.00075 0.00041 0.00007 -0.00011 0.00001 0.00002 -0.00001 -0.00000 0.00000 0.00000 -0.00000 0.00000
AlHexafluorophosphate_R  6.759  0.5  0.10377 -0.19007 -0.06126 0.02743 0.01861 -0.00194 -0.00433 -0.00049 0.00081 0.00027 -0.00012 -0.00008 0.00001 0.00002 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000
AlHexafluorophosphate_R  6.893  0.5  -0.10644 -0.13251 0.03109 0.00922 -0.00465 -0.00027 0.00053 -0.00005 -0.00005 0.00001 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AlHexafluorophosphate_R  6.213  0.5  0.05163 -0.21152 -0.03830 0.04873 0.01548 -0.01043 -0.00515 0.00201 0.00154 -0.00032 -0.00043 0.00003 0.00011 0.00001 -0.00003 -0.00000 0.00001 0.00000 -0.00000 -0.00000
AlHexafluorophosphate_R  6.404  0.5  0.11586 -0.30938 -0.09963 0.07235 0.04515 -0.01235 -0.01618 0.00033 0.00494 0.00093 -0.00129 -0.00055 0.00027 0.00022 -0.00004 -0.00007 -0.00000 0.00002 0.00001 -0.00001
AlHexafluorophosphate_R  7.119  0.5  -0.10431 -0.28819 0.09606 0.07217 -0.04662 -0.01319 0.01790 0.00038 -0.00586 0.00115 0.00164 -0.00073 -0.00037 0.00031 0.00005 -0.00011 0.00001 0.00003 -0.00001 -0.00001
AlHexafluorophosphate_R  6.231  0.5  0.24393 -0.14807 -0.08638 -0.00562 0.01147 0.00464 -0.00024 -0.00079 -0.00022 0.00005 0.00005 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000
AlHexafluorophosphate_R  7.572  0.5  -0.20459 -0.17887 0.13884 -0.00932 -0.03635 0.01881 0.00227 -0.00649 0.00221 0.00091 -0.00105 0.00020 0.00022 -0.00015 0.00000 0.00004 -0.00002 -0.00000 0.00001 -0.00000
AlHexafluorophosphate_R  6.219  0.5  0.17477 -0.08875 -0.05339 -0.00535 0.00561 0.00259 0.00008 -0.00033 -0.00012 0.00001 0.00002 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000
AlHexafluorophosphate_R  7.595  0.5  -0.24811 -0.32298 0.18427 0.02875 -0.06314 0.01376 0.01339 -0.00864 -0.00084 0.00278 -0.00073 -0.00055 0.00040 0.00002 -0.00012 0.00004 0.00002 -0.00002 0.00000 0.00001
AlHexafluorophosphate_R  6.559  0.5  0.17137 -0.08404 -0.06539 -0.01126 0.00734 0.00504 0.00071 -0.00063 -0.00039 -0.00004 0.00005 0.00003 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000
