Molcode   Qmax   Concentration   Correlations 
AnilineChlorobenzene  6.833  0.5  -0.06918 -0.13971 0.04231 0.02199 -0.01347 -0.00213 0.00333 -0.00019 -0.00068 0.00018 0.00011 -0.00006 -0.00001 0.00002 -0.00000
AnilineChlorobenzene  7.057  0.5  0.11515 -0.30261 -0.10088 0.07127 0.04645 -0.01188 -0.01686 0.00001 0.00519 0.00112 -0.00135 -0.00064 0.00028 0.00026 -0.00003
AnilineChlorobenzene  6.312  0.5  -0.02702 -0.24497 0.01771 0.05285 -0.00642 -0.01127 0.00195 0.00238 -0.00054 -0.00050 0.00014 0.00010 -0.00004 -0.00002 0.00001
AnilineChlorobenzene  6.828  0.5  0.22619 -0.11585 -0.10871 -0.02453 0.01396 0.01246 0.00265 -0.00168 -0.00143 -0.00028 0.00020 0.00016 0.00003 -0.00002 -0.00002
AnilineChlorobenzene  7.308  0.5  0.44954 -0.21400 -0.30570 -0.12077 0.03388 0.06670 0.03108 -0.00430 -0.01428 -0.00774 0.00021 0.00299 0.00188 0.00012 -0.00061
AnilineChlorobenzene  7.569  0.5  -0.01559 -0.21599 0.00731 0.03363 -0.00190 -0.00522 0.00042 0.00081 -0.00008 -0.00012 0.00002 0.00002 -0.00000 -0.00000 0.00000
AnilineChlorobenzene_R  7.257  0.5  -0.03119 -0.09246 0.01450 0.01316 -0.00366 -0.00171 0.00076 0.00019 -0.00014 -0.00002 0.00002 0.00000 -0.00000 0.00000 0.00000
AnilineChlorobenzene_R  7.564  0.5  -0.12250 -0.38460 0.09675 0.08879 -0.04099 -0.01743 0.01403 0.00243 -0.00422 0.00003 0.00114 -0.00020 -0.00028 0.00010 0.00006
AnilineChlorobenzene_R  6.780  0.5  -0.23207 -0.78558 0.41528 0.35743 -0.38567 -0.09555 0.27758 -0.03395 -0.16475 0.07774 0.07815 -0.07603 -0.02372 0.05639 -0.00416
AnilineChlorobenzene_R  7.204  0.5  0.15011 -0.07863 -0.04893 -0.00509 0.00548 0.00262 0.00008 -0.00036 -0.00013 0.00001 0.00002 0.00001 -0.00000 -0.00000 -0.00000
AnilineChlorobenzene_R  7.507  0.5  -0.02382 -0.08888 0.00957 0.01137 -0.00211 -0.00139 0.00038 0.00016 -0.00006 -0.00002 0.00001 0.00000 -0.00000 -0.00000 0.00000
AnilineChlorobenzene_R  6.174  0.5  0.18932 -0.12950 -0.09122 -0.00844 0.01605 0.00811 -0.00021 -0.00181 -0.00067 0.00012 0.00019 0.00005 -0.00002 -0.00002 -0.00000
AnilineChlorobenzene_R  7.308  0.5  0.28711 -0.22869 -0.35093 -0.13254 0.11042 0.16574 0.06114 -0.05328 -0.07827 -0.02818 0.02569 0.03695 0.01298 -0.01238 -0.01744
AnilineChlorobenzene_R  6.881  0.5  0.21568 -0.26461 -0.20203 0.00917 0.08107 0.03325 -0.01580 -0.01982 -0.00297 0.00620 0.00394 -0.00057 -0.00176 -0.00058 0.00041
AnilineChlorobenzene_R  6.601  0.5  -0.16302 -0.21914 0.12772 0.02095 -0.04626 0.01015 0.01042 -0.00680 -0.00074 0.00233 -0.00061 -0.00049 0.00036 0.00002 -0.00012
AnilineChlorobenzene_R  7.085  0.5  0.53294 -0.55891 -0.74750 -0.18255 0.34804 0.36952 0.04415 -0.20546 -0.17726 0.00357 0.11649 0.08213 -0.01534 -0.06389 -0.03644
AnilineChlorobenzene_R  6.589  0.5  0.14957 -0.20733 -0.16790 0.01254 0.08198 0.03398 -0.02063 -0.02534 -0.00293 0.01004 0.00618 -0.00155 -0.00354 -0.00101 0.00111
AnilineChlorobenzene_R  6.340  0.5  0.26197 -0.26921 -0.21120 -0.00526 0.06898 0.03321 -0.00818 -0.01495 -0.00405 0.00321 0.00283 0.00021 -0.00086 -0.00046 0.00008
AnilineChlorobenzene_R  6.778  0.5  0.22038 -0.16979 -0.15260 -0.02236 0.03658 0.02504 0.00095 -0.00735 -0.00392 0.00036 0.00140 0.00058 -0.00015 -0.00026 -0.00008
AnilineChlorobenzene_R  7.094  0.5  -0.10801 -0.17773 0.05382 0.02130 -0.01375 -0.00113 0.00268 -0.00032 -0.00042 0.00014 0.00005 -0.00003 -0.00000 0.00001 -0.00000
AnilinePyridine  7.898  0.5  -0.02148 -0.61126 0.04041 0.38185 -0.04218 -0.23779 0.03694 0.14761 -0.02969 -0.09134 0.02266 0.05632 -0.01670 -0.03461 0.01201
AnilinePyridine  6.321  0.5  -0.14735 -0.34269 0.24264 0.10292 -0.19480 0.02320 0.10942 -0.06282 -0.03937 0.05608 -0.00070 -0.03416 0.01559 0.01408 -0.01583
AnilinePyridine  7.062  0.5  -0.07639 -0.56931 0.10600 0.25312 -0.08081 -0.10838 0.05116 0.04436 -0.02940 -0.01711 0.01586 0.00604 -0.00816 -0.00182 0.00404
AnilinePyridine  6.461  0.5  -0.05392 -0.30713 0.07395 0.13125 -0.05531 -0.05232 0.03408 0.01894 -0.01888 -0.00582 0.00972 0.00116 -0.00471 0.00021 0.00216
AnilinePyridine  7.526  0.5  0.02857 -0.19039 -0.01255 0.02745 0.00305 -0.00390 -0.00062 0.00055 0.00012 -0.00008 -0.00002 0.00001 0.00000 -0.00000 -0.00000
AnilinePyridine  6.717  0.5  0.12044 -0.75319 -0.22588 0.43598 0.23041 -0.23265 -0.19307 0.11028 0.14503 -0.04168 -0.10080 0.00666 0.06565 0.00874 -0.04017
AnilinePyridine  7.461  0.5  -0.07914 -0.10775 0.02064 0.00736 -0.00281 -0.00033 0.00030 -0.00001 -0.00003 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AnilinePyridine  6.230  0.5  0.00085 -0.17366 -0.00033 0.02203 0.00007 -0.00279 -0.00001 0.00035 0.00000 -0.00004 -0.00000 0.00001 0.00000 -0.00000 -0.00000
AnilinePyridine  7.341  0.5  0.05658 -0.25200 -0.03477 0.04914 0.01171 -0.00913 -0.00326 0.00160 0.00082 -0.00026 -0.00019 0.00004 0.00004 -0.00000 -0.00001
AnilinePyridine  6.889  0.5  0.50089 -0.32629 -0.44781 -0.15669 0.09588 0.13588 0.04896 -0.02814 -0.04122 -0.01528 0.00824 0.01250 0.00476 -0.00241 -0.00379
AnilinePyridine  6.824  0.5  0.28110 -0.29157 -0.32864 -0.05394 0.13721 0.11390 -0.00011 -0.05932 -0.03706 0.00767 0.02408 0.01107 -0.00560 -0.00926 -0.00288
AnilinePyridine  7.509  0.5  -0.09221 -0.23545 0.11224 0.06856 -0.06999 -0.00856 0.03319 -0.00640 -0.01254 0.00663 0.00345 -0.00395 -0.00030 0.00182 -0.00042
AnilinePyridine  7.292  0.5  0.14927 -0.09904 -0.04364 0.00054 0.00537 0.00133 -0.00030 -0.00024 -0.00003 0.00002 0.00001 -0.00000 -0.00000 -0.00000 0.00000
AnilinePyridine  7.573  0.5  -0.01091 -0.27100 0.00757 0.06253 -0.00291 -0.01441 0.00094 0.00331 -0.00028 -0.00076 0.00008 0.00017 -0.00002 -0.00004 0.00001
AnilinePyridine_R  6.644  0.5  0.11078 -0.07660 -0.04450 -0.00175 0.00703 0.00264 -0.00032 -0.00056 -0.00013 0.00005 0.00004 0.00000 -0.00001 -0.00000 0.00000
AnilinePyridine_R  7.940  0.5  -0.11493 -0.25206 0.08897 0.04915 -0.03567 -0.00542 0.01105 -0.00102 -0.00281 0.00092 0.00056 -0.00038 -0.00007 0.00012 -0.00001
AnilinePyridine_R  7.136  0.5  -0.02829 -0.48298 0.03379 0.19108 -0.02238 -0.07517 0.01243 0.02941 -0.00633 -0.01143 0.00306 0.00442 -0.00143 -0.00170 0.00065
AnilinePyridine_R  6.961  0.5  0.09511 -0.67625 -0.14221 0.32162 0.11659 -0.14614 -0.07922 0.06275 0.04874 -0.02489 -0.02807 0.00866 0.01538 -0.00223 -0.00807
AnilinePyridine_R  6.489  0.5  -0.15839 -0.13447 0.06592 0.00319 -0.01197 0.00297 0.00113 -0.00083 0.00005 0.00012 -0.00005 -0.00001 0.00001 -0.00000 -0.00000
AnilinePyridine_R  6.696  0.5  -0.06422 -0.07493 0.02481 0.00557 -0.00471 0.00018 0.00064 -0.00016 -0.00006 0.00003 0.00000 -0.00001 0.00000 0.00000 -0.00000
AnilinePyridine_R  7.832  0.5  0.02222 -0.36015 -0.02163 0.11619 0.01168 -0.03729 -0.00529 0.01191 0.00219 -0.00378 -0.00086 0.00119 0.00033 -0.00038 -0.00012
AnilinePyridine_R  6.435  0.5  0.13018 -0.19350 -0.08685 0.02370 0.02828 0.00206 -0.00645 -0.00233 0.00095 0.00085 0.00000 -0.00021 -0.00006 0.00004 0.00002
AnilinePyridine_R  7.311  0.5  0.03828 -0.17896 -0.01643 0.02482 0.00388 -0.00334 -0.00076 0.00044 0.00014 -0.00005 -0.00002 0.00001 0.00000 -0.00000 -0.00000
AnilinePyridine_R  7.343  0.5  0.07969 -0.17186 -0.04410 0.02594 0.01287 -0.00288 -0.00297 0.00006 0.00059 0.00009 -0.00010 -0.00003 0.00001 0.00001 -0.00000
AnilinePyridine_R  6.940  0.5  -0.04735 -0.18717 0.03404 0.04166 -0.01332 -0.00858 0.00428 0.00158 -0.00124 -0.00024 0.00033 0.00002 -0.00008 0.00001 0.00002
AnilinePyridine_R  7.900  0.5  0.14911 -0.20944 -0.15550 0.01720 0.07213 0.02515 -0.01864 -0.01876 -0.00067 0.00747 0.00362 -0.00148 -0.00216 -0.00036 0.00074
AnilinePyridine_R  7.597  0.5  0.19464 -0.14931 -0.10262 -0.00631 0.02081 0.00958 -0.00097 -0.00255 -0.00078 0.00027 0.00028 0.00005 -0.00005 -0.00003 -0.00000
AnilinePyridine_R  6.199  0.5  0.02646 -0.10920 -0.00726 0.00974 0.00110 -0.00085 -0.00014 0.00007 0.00002 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AnilineHexachlorobenzene  7.485  0.5  0.21101 -0.55648 -0.31586 0.18766 0.23929 -0.01524 -0.13535 -0.04071 0.05871 0.04333 -0.01618 -0.02937 -0.00185 0.01527 0.00653
AnilineHexachlorobenzene  6.286  0.5  0.30628 -0.77505 -0.50795 0.26235 0.41856 0.01337 -0.24980 -0.11165 0.10613 0.11208 -0.01830 -0.07595 -0.02030 0.03792 0.02810
AnilineHexachlorobenzene  7.918  0.5  0.17542 -0.38210 -0.19242 0.09117 0.10610 -0.00249 -0.04321 -0.01284 0.01317 0.00935 -0.00227 -0.00446 -0.00052 0.00162 0.00073
AnilineHexachlorobenzene  7.992  0.5  -0.11586 -0.14513 0.06945 0.01269 -0.01966 0.00291 0.00364 -0.00174 -0.00032 0.00049 -0.00007 -0.00009 0.00004 0.00001 -0.00001
AnilineHexachlorobenzene  7.593  0.5  0.22843 -0.41952 -0.36481 0.06949 0.26498 0.09669 -0.11463 -0.12112 0.00765 0.07982 0.03743 -0.03013 -0.03936 -0.00197 0.02358
AnilineHexachlorobenzene  7.760  0.5  0.04631 -0.33953 -0.04347 0.10337 0.02250 -0.03068 -0.00970 0.00885 0.00381 -0.00247 -0.00141 0.00066 0.00050 -0.00016 -0.00017
AnilineHexachlorobenzene  6.172  0.5  -0.11777 -0.13995 0.03524 0.00950 -0.00534 -0.00017 0.00061 -0.00008 -0.00005 0.00002 0.00000 -0.00000 0.00000 0.00000 -0.00000
AnilineHexachlorobenzene  6.510  0.5  0.17484 -0.23181 -0.17201 0.01478 0.07434 0.02725 -0.01716 -0.01837 -0.00141 0.00661 0.00350 -0.00105 -0.00184 -0.00041 0.00054
AnilineHexachlorobenzene  6.715  0.5  0.02571 -0.15308 -0.01555 0.03005 0.00519 -0.00576 -0.00144 0.00107 0.00037 -0.00019 -0.00009 0.00003 0.00002 -0.00001 -0.00000
AnilineHexachlorobenzene  7.400  0.5  0.29078 -0.12348 -0.09938 -0.01954 0.00885 0.00690 0.00131 -0.00063 -0.00048 -0.00009 0.00005 0.00003 0.00001 -0.00000 -0.00000
AnilineHexachlorobenzene  6.938  0.5  0.10565 -0.07673 -0.02474 0.00211 0.00267 0.00033 -0.00018 -0.00007 0.00000 0.00001 0.00000 -0.00000 -0.00000 0.00000 0.00000
AnilineHexachlorobenzene  7.143  0.5  0.07184 -0.49611 -0.10844 0.23740 0.08967 -0.10813 -0.06140 0.04628 0.03802 -0.01811 -0.02202 0.00605 0.01211 -0.00134 -0.00637
AnilineHexachlorobenzene  6.602  0.5  0.09149 -0.23389 -0.05898 0.04266 0.02023 -0.00622 -0.00555 0.00048 0.00132 0.00011 -0.00028 -0.00007 0.00005 0.00002 -0.00001
AnilineHexachlorobenzene  6.300  0.5  0.07556 -0.45687 -0.10414 0.19764 0.07841 -0.08047 -0.04874 0.03023 0.02732 -0.01000 -0.01426 0.00252 0.00704 -0.00012 -0.00330
AnilineHexachlorobenzene_R  6.414  0.5  0.18404 -0.44208 -0.20785 0.11723 0.11979 -0.01163 -0.05221 -0.01098 0.01793 0.00986 -0.00432 -0.00531 0.00016 0.00221 0.00060
AnilineHexachlorobenzene_R  7.030  0.5  0.33641 -0.17460 -0.26057 -0.10692 0.03485 0.06858 0.03277 -0.00598 -0.01778 -0.00977 0.00067 0.00453 0.00285 0.00007 -0.00114
AnilineHexachlorobenzene_R  7.217  0.5  -0.11558 -0.75847 0.20659 0.42290 -0.20140 -0.22028 0.16180 0.10450 -0.11695 -0.04234 0.07856 0.01155 -0.04973 0.00194 0.02981
AnilineHexachlorobenzene_R  6.630  0.5  -0.04943 -0.10886 0.02635 0.01609 -0.00744 -0.00182 0.00167 0.00008 -0.00032 0.00004 0.00005 -0.00002 -0.00001 0.00000 0.00000
AnilineHexachlorobenzene_R  7.427  0.5  0.22173 -0.11347 -0.06135 -0.00459 0.00613 0.00241 -0.00003 -0.00030 -0.00009 0.00001 0.00001 0.00000 -0.00000 -0.00000 -0.00000
AnilineHexachlorobenzene_R  6.974  0.5  -0.09340 -0.13998 0.05542 0.01674 -0.01630 0.00042 0.00346 -0.00096 -0.00052 0.00034 0.00003 -0.00008 0.00001 0.00001 -0.00001
AnilineHexachlorobenzene_R  7.292  0.5  0.07807 -0.18792 -0.03350 0.02382 0.00773 -0.00261 -0.00145 0.00022 0.00024 -0.00000 -0.00004 -0.00000 0.00000 0.00000 -0.00000
AnilineHexachlorobenzene_R  7.944  0.5  -0.09102 -0.15275 0.05641 0.02110 -0.01765 -0.00060 0.00411 -0.00083 -0.00073 0.00036 0.00008 -0.00010 0.00001 0.00002 -0.00001
AnilineHexachlorobenzene_R  7.320  0.5  0.19598 -0.27708 -0.26026 0.00684 0.14561 0.07692 -0.03674 -0.06227 -0.01447 0.02592 0.02224 -0.00181 -0.01312 -0.00628 0.00367
AnilineHexachlorobenzene_R  7.511  0.5  0.11452 -0.11340 -0.05467 0.00528 0.01181 0.00246 -0.00150 -0.00090 0.00002 0.00017 0.00005 -0.00002 -0.00001 -0.00000 0.00000
AnilineHexachlorobenzene_R  6.670  0.5  0.02559 -0.29577 -0.03731 0.14133 0.03008 -0.06651 -0.02027 0.03078 0.01248 -0.01399 -0.00727 0.00622 0.00407 -0.00270 -0.00222
AnilineHexachlorobenzene_R  6.501  0.5  0.04092 -0.50221 -0.06622 0.26639 0.05925 -0.13918 -0.04432 0.07155 0.03029 -0.03612 -0.01959 0.01786 0.01218 -0.00861 -0.00736
AnilineHexachlorobenzene_R  7.540  0.5  -0.05923 -0.18628 0.05115 0.04644 -0.02362 -0.00962 0.00878 0.00130 -0.00286 0.00013 0.00083 -0.00019 -0.00021 0.00009 0.00005
AnilineHexachlorobenzene_R  7.213  0.5  0.14122 -0.05694 -0.03309 -0.00396 0.00241 0.00118 0.00010 -0.00010 -0.00004 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000
AnilineBenzoate  6.501  0.5  0.29581 -0.15281 -0.15284 -0.03771 0.02025 0.01987 0.00480 -0.00268 -0.00258 -0.00061 0.00036 0.00034 0.00008 -0.00005 -0.00004
AnilineBenzoate  7.573  0.5  -0.01271 -0.24377 0.00959 0.06112 -0.00402 -0.01528 0.00141 0.00381 -0.00046 -0.00095 0.00014 0.00023 -0.00004 -0.00006 0.00001
AnilineBenzoate  6.061  0.5  -0.11458 -0.28867 0.13382 0.08110 -0.08015 -0.01013 0.03658 -0.00663 -0.01334 0.00675 0.00358 -0.00389 -0.00034 0.00173 -0.00037
AnilineBenzoate  7.312  0.5  -0.07695 -0.53483 0.12648 0.27762 -0.11378 -0.13658 0.08465 0.06270 -0.05688 -0.02597 0.03570 0.00885 -0.02124 -0.00160 0.01206
AnilineBenzoate  7.207  0.5  0.06380 -0.16724 -0.03751 0.02847 0.01180 -0.00405 -0.00299 0.00038 0.00066 0.00002 -0.00013 -0.00002 0.00002 0.00001 -0.00000
AnilineBenzoate  6.764  0.5  -0.20553 -0.26331 0.12411 0.02424 -0.03559 0.00482 0.00677 -0.00308 -0.00065 0.00090 -0.00011 -0.00017 0.00008 0.00002 -0.00002
AnilineBenzoate  7.687  0.5  -0.11045 -0.35172 0.18176 0.14542 -0.15482 -0.03360 0.10183 -0.01423 -0.05488 0.02660 0.02328 -0.02332 -0.00586 0.01561 -0.00176
AnilineBenzoate  7.714  0.5  0.06583 -0.25671 -0.06067 0.07150 0.03025 -0.01784 -0.01231 0.00371 0.00446 -0.00048 -0.00148 -0.00008 0.00045 0.00010 -0.00013
AnilineBenzoate  6.953  0.5  0.05290 -0.17617 -0.02761 0.02842 0.00784 -0.00423 -0.00183 0.00056 0.00038 -0.00006 -0.00007 0.00000 0.00001 0.00000 -0.00000
AnilineBenzoate  6.582  0.5  0.07154 -0.65946 -0.11298 0.33713 0.09831 -0.16773 -0.07125 0.08091 0.04702 -0.03759 -0.02923 0.01663 0.01740 -0.00684 -0.01001
AnilineBenzoate  7.587  0.5  0.10970 -0.56144 -0.13675 0.21616 0.09275 -0.07679 -0.05168 0.02426 0.02582 -0.00614 -0.01194 0.00069 0.00517 0.00054 -0.00211
AnilineBenzoate  6.526  0.5  0.00543 -0.12988 -0.00205 0.01638 0.00043 -0.00206 -0.00008 0.00026 0.00001 -0.00003 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AnilineBenzoate  7.201  0.5  0.00945 -0.17460 -0.00526 0.03230 0.00163 -0.00596 -0.00042 0.00110 0.00010 -0.00020 -0.00002 0.00004 0.00000 -0.00001 -0.00000
AnilineBenzoate  6.798  0.5  -0.19466 -0.29716 0.14958 0.03891 -0.05545 0.00617 0.01409 -0.00621 -0.00212 0.00246 -0.00016 -0.00066 0.00025 0.00011 -0.00011
AnilineBenzoate_R  7.557  0.5  -0.09021 -0.09783 0.02605 0.00595 -0.00376 0.00001 0.00040 -0.00007 -0.00003 0.00001 0.00000 -0.00000 0.00000 0.00000 -0.00000
AnilineBenzoate_R  6.873  0.5  -0.09182 -0.57669 0.11489 0.22872 -0.07875 -0.08634 0.04469 0.03062 -0.02294 -0.00992 0.01101 0.00274 -0.00502 -0.00050 0.00219
AnilineBenzoate_R  6.708  0.5  0.06495 -0.06160 -0.01862 0.00310 0.00259 0.00016 -0.00025 -0.00006 0.00001 0.00001 0.00000 -0.00000 -0.00000 0.00000 0.00000
AnilineBenzoate_R  6.945  0.5  -0.19133 -0.38498 0.23922 0.08678 -0.14554 0.01609 0.06174 -0.03155 -0.01657 0.02119 -0.00050 -0.00970 0.00401 0.00297 -0.00303
AnilineBenzoate_R  6.853  0.5  0.23912 -0.21381 -0.15206 -0.00515 0.03868 0.01729 -0.00327 -0.00598 -0.00158 0.00096 0.00082 0.00008 -0.00019 -0.00010 0.00001
AnilineBenzoate_R  7.510  0.5  0.21063 -0.11137 -0.07885 -0.01074 0.00956 0.00550 0.00044 -0.00078 -0.00037 -0.00001 0.00006 0.00002 -0.00000 -0.00000 -0.00000
AnilineBenzoate_R  6.094  0.5  0.16450 -0.17205 -0.09075 0.00852 0.02249 0.00532 -0.00320 -0.00218 0.00000 0.00048 0.00015 -0.00006 -0.00005 -0.00000 0.00001
AnilineBenzoate_R  6.347  0.5  -0.20290 -0.19630 0.13665 -0.00071 -0.03794 0.01564 0.00425 -0.00610 0.00130 0.00118 -0.00084 0.00001 0.00023 -0.00010 -0.00002
AnilineBenzoate_R  7.868  0.5  0.05996 -0.24399 -0.06688 0.08131 0.04023 -0.02387 -0.01969 0.00559 0.00854 -0.00060 -0.00338 -0.00038 0.00122 0.00037 -0.00040
AnilineBenzoate_R  6.989  0.5  0.04401 -0.10158 -0.01191 0.00844 0.00175 -0.00064 -0.00021 0.00004 0.00002 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000
AnilineBenzoate_R  7.164  0.5  -0.23016 -0.81732 0.41292 0.38294 -0.38678 -0.11625 0.28306 -0.01884 -0.17320 0.06854 0.08735 -0.07197 -0.03183 0.05600 0.00187
AnilineBenzoate_R  6.705  0.5  0.10544 -0.34325 -0.10122 0.09458 0.05188 -0.02143 -0.02138 0.00300 0.00768 0.00048 -0.00246 -0.00064 0.00070 0.00035 -0.00016
AnilineBenzoate_R  7.498  0.5  -0.00009 -0.33351 0.00011 0.14202 -0.00008 -0.06047 0.00005 0.02575 -0.00003 -0.01097 0.00001 0.00467 -0.00001 -0.00199 0.00000
AnilineBenzoate_R  7.592  0.5  -0.06717 -0.47044 0.10958 0.24264 -0.09785 -0.11877 0.07229 0.05438 -0.04826 -0.02256 0.03010 0.00781 -0.01781 -0.00156 0.01007
AnilineBenzoquinone  6.357  0.5  0.01956 -0.11680 -0.00750 0.01467 0.00159 -0.00182 -0.00028 0.00022 0.00005 -0.00003 -0.00001 0.00000 0.00000 -0.00000 -0.00000
AnilineBenzoquinone  6.231  0.5  0.05876 -0.30269 -0.04385 0.07201 0.01795 -0.01641 -0.00610 0.00355 0.00188 -0.00071 -0.00054 0.00013 0.00015 -0.00002 -0.00004
AnilineBenzoquinone  7.777  0.5  0.05949 -0.07706 -0.01695 0.00544 0.00249 -0.00020 -0.00028 -0.00002 0.00003 0.00001 -0.00000 -0.00000 0.00000 0.00000 0.00000
AnilineBenzoquinone  7.918  0.5  -0.08170 -0.16686 0.06749 0.03221 -0.02842 -0.00223 0.00904 -0.00167 -0.00226 0.00108 0.00039 -0.00042 -0.00001 0.00013 -0.00003
AnilineBenzoquinone  6.443  0.5  0.23398 -0.16023 -0.09538 -0.00451 0.01511 0.00593 -0.00062 -0.00125 -0.00032 0.00011 0.00009 0.00001 -0.00001 -0.00001 -0.00000
AnilineBenzoquinone  7.094  0.5  0.17784 -0.19922 -0.19722 -0.01659 0.08452 0.05565 -0.00880 -0.03146 -0.01359 0.00730 0.01059 0.00251 -0.00363 -0.00324 -0.00011
AnilineBenzoquinone  6.482  0.5  -0.06848 -0.17439 0.02510 0.01945 -0.00498 -0.00196 0.00081 0.00017 -0.00012 -0.00001 0.00002 -0.00000 -0.00000 0.00000 0.00000
AnilineBenzoquinone  7.917  0.5  -0.08403 -0.09323 0.03680 0.00646 -0.00769 0.00081 0.00108 -0.00040 -0.00008 0.00009 -0.00001 -0.00001 0.00000 0.00000 -0.00000
AnilineBenzoquinone  6.005  0.5  0.06151 -0.18740 -0.05077 0.04453 0.02239 -0.00875 -0.00795 0.00109 0.00246 0.00012 -0.00068 -0.00016 0.00017 0.00007 -0.00003
